jn	abs	pmid
1. J Immunol. 2016 Apr 15;196(8):3233-44. doi: 10.4049/jimmunol.1402943. Epub 2016	Mar 4.  Control of the Physical and Antimicrobial Skin Barrier by an IL-31-IL-1 Signaling Network.  Hänel KH(1), Pfaff CM(1), Cornelissen C(1), Amann PM(2), Marquardt Y(2), Czaja K(2), Kim A(3), Lüscher B(4), Baron JM(5).  Author information:  (1)Department of Dermatology and Allergology, Medical School, RWTH Aachen University, 52074 Aachen, Germany; Institute of Biochemistry and Molecular Biology, Medical School, RWTH Aachen University, 52074 Aachen, Germany; and. (2)Department of Dermatology and Allergology, Medical School, RWTH Aachen University, 52074 Aachen, Germany; (3)Department of Dermatology, College of Physicians and Surgeons, Columbia University, New York, NY 10032. (4)Institute of Biochemistry and Molecular Biology, Medical School, RWTH Aachen University, 52074 Aachen, Germany; and luescher@rwth-aachen.de jensmalte.baron@post.rwth-aachen.de. (5)Department of Dermatology and Allergology, Medical School, RWTH Aachen University, 52074 Aachen, Germany; luescher@rwth-aachen.de jensmalte.baron@post.rwth-aachen.de.  Atopic dermatitis, a chronic inflammatory skin disease with increasing prevalence, is closely associated with skin barrier defects. A cytokine related to disease severity and inhibition of keratinocyte differentiation is IL-31. To identify its molecular targets, IL-31-dependent gene expression was determined in three-dimensional organotypic skin models. IL-31-regulated genes are involved in  the formation of an intact physical skin barrier. Many of these genes were poorly induced during differentiation as a consequence of IL-31 treatment, resulting in  increased penetrability to allergens and irritants. Furthermore, studies employing cell-sorted skin equivalents in SCID/NOD mice demonstrated enhanced transepidermal water loss following s.c. administration of IL-31. We identified the IL-1 cytokine network as a downstream effector of IL-31 signaling. Anakinra,  an IL-1R antagonist, blocked the IL-31 effects on skin differentiation. In addition to the effects on the physical barrier, IL-31 stimulated the expression  of antimicrobial peptides, thereby inhibiting bacterial growth on the three-dimensional organotypic skin models. This was evident already at low doses  of IL-31, insufficient to interfere with the physical barrier. Together, these findings demonstrate that IL-31 affects keratinocyte differentiation in multiple  ways and that the IL-1 cytokine network is a major downstream effector of IL-31 signaling in deregulating the physical skin barrier. Moreover, by interfering with IL-31, a currently evaluated drug target, we will have to consider that low  doses of IL-31 promote the antimicrobial barrier, and thus a complete inhibition  of IL-31 signaling may be undesirable.  Copyright © 2016 by The American Association of Immunologists, Inc.  DOI: 10.4049/jimmunol.1402943 	26944931
2. J Invest Dermatol. 2016 Mar;136(3):561-4. doi: 10.1016/j.jid.2015.12.025.	 Too Much, Too Little or Just Enough: A Goldilocks Effect for IL-13 and Skin Barrier Regulation?  Strid J(1), McLean WH(2), Irvine AD(3).  Author information:  (1)Division of Immunology and Inflammation, Department of Medicine, Imperial College London, London, UK. Electronic address: j.strid@imperial.ac.uk. (2)Department of Dermatology and Genetic Medicine, School of Life Sciences, University of Dundee, Dundee, UK. (3)National Children's Research Centre, Our Lady's Children's Hospital Crumlin, Dublin, Ireland; Department of Paediatric Dermatology, Our Lady's Children's Hospital Crumlin, Dublin, Ireland; Department  of Clinical Medicine, Trinity College Dublin, Dublin, Ireland. Electronic address: irvinea@tcd.ie.  Comment on     J Invest Dermatol. 2016 Mar;136(3):631-9.  The mechanistic relationship between IL-4/IL-13 and skin barrier function has been of interest since the filaggrin discovery and the subsequent in vitro demonstration that IL-4 and IL-13 downregulate filaggrin expression in cultured keratinocytes. Hönzke and colleagues explore these interactions further. The effects of IL-4/ll-13 may be context dependent, with differing roles in homeostasis and in disease.  Copyright © 2015 The Authors. Published by Elsevier Inc. All rights reserved.  DOI: 10.1016/j.jid.2015.12.025 	26902126
3. Mediators Inflamm. 2015;2015:630128. doi: 10.1155/2015/630128. Epub 2015 Oct 27.	 Amarogentin Displays Immunomodulatory Effects in Human Mast Cells and Keratinocytes.  Wölfle U(1), Haarhaus B(1), Schempp CM(1).  Author information:  (1)Research Center skinitial, Department of Dermatology, University Medical Center, 79104 Freiburg, Germany.  Keratinocytes express the bitter taste receptors TAS2R1 and TAS2R38. Amarogentin  as an agonist for TAS2R1 and other TAS2Rs promotes keratinocyte differentiation.  Similarly, mast cells are known to express bitter taste receptors. The aim of this study was to assess whether bitter compounds display immunomodulatory effects on these immunocompetent cells in the skin, so that they might be a target in chronic inflammatory diseases such as atopic dermatitis and psoriasis.  Here, we investigated the impact of amarogentin on substance P-induced release of histamine and TNF-α from the human mast cell line LAD-2. Furthermore, the effect  of amarogentin on HaCaT keratinocytes costimulated with TNF-α and histamine was investigated. Amarogentin inhibited in LAD-2 cells substance P-induced production of newly synthesized TNF-α, but the degranulation and release of stored histamine were not affected. In HaCaT keratinocytes histamine and TNF-α induced IL-8 and MMP-1 expression was reduced by amarogentin to a similar extent as with azelastine. In conclusion amarogentin displays immunomodulatory effects in the skin by interacting with mast cells and keratinocytes.  DOI: 10.1155/2015/630128  PMCID: PMC4639662	26600671
4. J Immunol. 2016 Jan 1;196(1):45-54. doi: 10.4049/jimmunol.1501102. Epub 2015 Nov 	18.  Group 2 Innate Lymphoid Cells Express Functional NKp30 Receptor Inducing Type 2 Cytokine Production.  Salimi M(1), Xue L(2), Jolin H(3), Hardman C(3), Cousins DJ(4), McKenzie AN(3), Ogg GS(5).  Author information:  (1)Medical Research Council Human Immunology Unit, Weatherall Institute of Molecular Medicine, John Radcliffe Hospital, University of Oxford, Oxford OX3 9DS, United Kingdom; (2)Oxford National Institute for Health Research Biomedical  Research Centre, Translational Immunology Laboratory, Nuffield Department of Medicine, John Radcliffe Hospital, University of Oxford, Oxford OX3 9DS, United Kingdom; (3)Medical Research Council Laboratory of Molecular Biology, Cambridge CB2 0QH, United Kingdom; (4)Department of Infection, Immunity and Inflammation, National Institute for Health Research Leicester Respiratory Biomedical Research  Unit, University of Leicester, Leicester LE3 9QP, United Kingdom; and Medical Research Council and Asthma UK Centre in Allergic Mechanisms of Asthma, King's College London, London WC2R 2LS, United Kingdom. (5)Medical Research Council Human Immunology Unit, Weatherall Institute of Molecular Medicine, John Radcliffe Hospital, University of Oxford, Oxford OX3 9DS, United Kingdom; graham.ogg@ndm.ox.ac.uk.  Group 2 innate lymphoid cells (ILC2) are important in effector functions for eliciting allergic inflammation, parasite defense, epithelial repair, and lipid homeostasis. ILC2 lack rearranged Ag-specific receptors, and although many soluble factors such as cytokines and lipid mediators can influence ILC2, direct  interaction of these cells with the microenvironment and other cells has been less explored. Natural cytotoxicity receptors are expressed by subsets of group 1 ILC and group 3 ILC and thought to be important for their effector function, but  they have not been shown to be expressed by ILC2. Therefore, we sought to investigate the expression and functional properties of the natural cytotoxicity  receptor NKp30 on human ILC2. A subset of ex vivo and cultured ILC2 express NKp30 that upon interaction with its cognate activatory ligand B7-H6 induces rapid production of type 2 cytokines. This interaction can be blocked by NKp30 blocking Ab and an inhibitory ligand, galectin-3. Higher expression of B7-H6 was observed  in lesional skin biopsies of patients with atopic dermatitis, and incubation of keratinocytes with proinflammatory and type 2 cytokines upregulated B7-H6, leading to increased ILC2 cytokine production. NKp30-B7-H6 interaction is a novel cell contact mechanism that mediates activation of ILC2 and identifies a potential target for the development of novel therapeutics for atopic dermatitis  and other atopic diseases.  Copyright © 2015 by The American Association of Immunologists, Inc.  DOI: 10.4049/jimmunol.1501102  PMCID: PMC4913864	26582946
5. BMC Immunol. 2015 Nov 14;16:69. doi: 10.1186/s12865-015-0131-y.	 PHF11 expression and cellular distribution is regulated by the Toll-Like Receptor 3 Ligand Polyinosinic:Polycytidylic Acid in HaCaT keratinocytes.  Muscat P(1), Mercado K(2), Payne K(3), Chahal H(4), Jones G(5).  Author information:  (1)School of Science and Health, Western Sydney University, Locked Bag 1797, 2751, Penrith, NSW, Australia. P.Muscat@westernsydney.edu.au. (2)School of Science and Health, Western Sydney University, Locked Bag 1797, 2751, Penrith, NSW, Australia. K.Mercado@westernsydney.edu.au. (3)Present address: Garvan Institute for Medical Research, Darlinghurst, NSW, Australia. k.payne@garvan.org.au. (4)School of Science and Health, Western Sydney University, Locked Bag 1797, 2751, Penrith, NSW, Australia. cha_hal@hotmail.com.  (5)School of Science and Health, Western Sydney University, Locked Bag 1797, 2751, Penrith, NSW, Australia. graham.jones@uws.edu.au.  BACKGROUND: Inflammatory skin diseases such as atopic dermatitis and psoriasis represent a complex interaction between the skin and infiltrating immune cells, resulting in damage to the skin barrier and increased inflammation. Polymorphisms in PHF11 have been associated with dermatitis and allergy and PHF11 regulates the transcription of T-cell cytokines as well as class switching to IgE in activated  B-cells. The importance of skin barrier homeostasis in the context of inflammatory skin diseases, together with reports identifying PHF11 as an interferon-induced gene, have led us to examine its role in the innate immune response of keratinocytes. RESULTS: We developed a cell culture model that allowed us to analyze the effects of the double-stranded RNA analogue poly(I:C) on a confluent cell monolayer immediately after a 24-h treatment, as well as three days after withdrawal of treatment. Immediately after treatment with poly(I:C), PHF11, IL8, and interferon-dependent ISG15 RNA expression was increased. This was accompanied by  nuclear localization of PHF11 as well the tight junction protein claudin-1. Knock-down of PHF11 resulted in increased interleukin-8 expression and secretion  immediately following treatment with poly(I:C), as well as changes in the cellular distribution of membrane-bound and increased nuclear claudin-1 that was  observed up to 3 days after the withdrawal of poly(I:C). This was associated with lower cell density and a decrease in the number of cells in the G1 phase of the cell cycle. CONCLUSIONS: In addition to a role for PHF11 in lymphocyte gene expression, we have now shown that PHF11 was part of the keratinocyte innate immune response by  poly(I:C). As knock-down of PHF11 was associated with increased expression of the pro-inflammatory chemokine IL-8 and changes in the cellular distribution of claudin-1, a change normally associated with increased proliferation and migration, we suggest that PHF11 may contribute to epidermal recovery following infection or other damage.  DOI: 10.1186/s12865-015-0131-y  PMCID: PMC4647448	26573531
6. Sci Transl Med. 2015 Nov 4;7(312):312ra177. doi: 10.1126/scitranslmed.aad0286.	 Sodium channel Nax is a regulator in epithelial sodium homeostasis.  Xu W(1), Hong SJ(1), Zhong A(2), Xie P(1), Jia S(1), Xie Z(3), Zeitchek M(4), Niknam-Bienia S(1), Zhao J(5), Porterfield DM(4), Surmeier DJ(3), Leung KP(6), Galiano RD(1), Mustoe TA(7).  Author information:  (1)Laboratory for Wound Repair and Regenerative Surgery, Department of Surgery, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA. (2)Laboratory for Wound Repair and Regenerative Surgery, Department of Surgery, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA. Department of Plastic Surgery, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei 430022, China. (3)Department of Physiology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA. (4)Department of Agricultural and Biological Engineering, Weldon School of Biomedical Engineering, Purdue University, West Lafayette, IN 47907, USA. (5)Laboratory for Wound Repair and Regenerative Surgery, Department of Surgery, Northwestern University Feinberg School of Medicine, Chicago, IL 60611,  USA. Department of Burns, First Affiliated Hospital of Sun Yat-Sen University, Guangzhou 510080, China. (6)Microbiology Branch, U.S. Army Dental and Trauma Research Detachment, Institute of Surgical Research, JB Fort Sam Houston, San Antonio, TX 78234, USA. (7)Laboratory for Wound Repair and Regenerative Surgery,  Department of Surgery, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA. tmustoe@nm.org.  The mechanisms by which the epidermis responds to disturbances in barrier function and restores homeostasis are unknown. With a perturbation of the epidermal barrier, water is lost, resulting in an increase in extracellular sodium concentration. We demonstrate that the sodium channel Nax functions as a sodium sensor. With increased extracellular sodium, Nax up-regulates prostasin, which results in activation of the sodium channel ENaC, resulting in increased sodium flux and increased downstream mRNA synthesis of inflammatory mediators. Nax is present in multiple epithelial tissues, and up-regulation of its downstream genes is found in hypertrophic scars. In animal models, blocking Nax expression results in improvement in scarring and atopic dermatitis-like symptoms, both of which are pathological conditions characterized by perturbations in barrier function. These findings support an important role for Nax in maintaining epithelial homeostasis.  Copyright © 2015, American Association for the Advancement of Science.  DOI: 10.1126/scitranslmed.aad0286 	26537257
7. Int Immunopharmacol. 2015 Dec;29(2):401-7. doi: 10.1016/j.intimp.2015.10.023.	Epub 2015 Oct 24.  Icariin inhibits TNF-α/IFN-γ induced inflammatory response via inhibition of the  substance P and p38-MAPK signaling pathway in human keratinocytes.  Kong L(1), Liu J(2), Wang J(3), Luo Q(2), Zhang H(2), Liu B(2), Xu F(2), Pang Q(4), Liu Y(4), Dong J(2).  Author information:  (1)Department of Integrated Traditional Chinese and Western Medicine, Huashan Hospital, Fudan University, Shanghai, PR China; Institute of Integrated Traditional Chinese and Western Medicine of Fudan University, Shanghai, PR China. Electronic address: jcdong2004@126.com. (2)Department of Integrated Traditional Chinese and Western Medicine, Huashan Hospital, Fudan University, Shanghai, PR China; Institute of Integrated Traditional Chinese and Western Medicine of Fudan  University, Shanghai, PR China. (3)Henan University of TCM, Zhengzhou, PR China.  (4)Department of Neurosurgery, Provincial Hospital Affiliated to Shandong University, Jinan, PR China.  Pro-inflammatory cytokines play a crucial role in the etiology of atopic dermatitis. We demonstrated that Herba Epimedii has anti-inflammatory potential in an atopic dermatitis mouse model; however, limited research has been conducted on the anti-inflammatory effects and mechanism of icariin, the major active ingredient in Herba Epimedii, in human keratinocytes. In this study, we evaluated the anti-inflammatory potential and mechanisms of icariin in the tumor necrosis factor-α (TNF-α)/interferon-γ (IFN-γ)-induced inflammatory response in human keratinocytes (HaCaT cells) by observing these cells in the presence or absence of icariin. We measured IL-6, IL-8, IL-1β, MCP-1 and GRO-α production by ELISA; IL-6, IL-8, IL-1β, intercellular adhesion molecule-1 (ICAM-1) and tachykinin receptor 1 (TACR1) mRNA expression by real-time PCR; and P38-MAPK, P-ERK and P-JNK signaling expression by western blot in TNF-α/IFN-γ-stimulated HaCaT cells  before and after icariin treatment. The expression of TNF-α-R1 and IFN-γ-R1 during the stimulation of the cell models was also evaluated before and after icariin treatment. We investigated the effect of icariin on these pro-inflammatory cytokines and detected whether this effect occurred via the mitogen-activated protein kinase (MAPK) signal transduction pathways. We further  specifically inhibited the activity of two kinases with 20μM SB203580 (a p38 kinase inhibitor) and 50μM PD98059 (an ERK1/2 kinase inhibitor) to determine the  roles of the two signal pathways involved in the inflammatory response. We found  that icariin inhibited TNF-α/IFN-γ-induced IL-6, IL-8, IL-1β, and MCP-1 production in a dose-dependent manner; meanwhile, the icariin treatment inhibited the gene expression of IL-8, IL-1β, ICAM-1 and TACR1 in HaCaT cells in a time- and dose-dependent manner. Icariin treatment resulted in a reduced expression of  p-P38 and p-ERK signal activation induced by TNF-α/IFN-γ; however, only SB203580, the p38 alpha/beta inhibitor, inhibited the secretion of inflammatory cytokines induced by TNF-α/IFN-γ in cultured HaCaT cells. The differential expression of TNF-α-R1 and IFN-γ-R1 was also observed after the stimulation of TNF-α/IFN-γ, which was significantly normalized after the icariin treatment. Collectively, we  illustrated the anti-inflammatory property of icariin in human keratinocytes. These effects were mediated, at least partially, via the inhibition of substance  P and the p38-MAPK signaling pathway, as well as by the regulation of the TNF-α-R1 and IFN-γ-R1 signals.  Copyright © 2015 Elsevier B.V. All rights reserved.  DOI: 10.1016/j.intimp.2015.10.023 	26507164
8. Am J Pathol. 2015 Oct;185(10):2777-89. doi: 10.1016/j.ajpath.2015.06.021. Epub	2015 Aug 28.  Diverse regulation of claudin-1 and claudin-4 in atopic dermatitis.  Gruber R(1), Börnchen C(2), Rose K(2), Daubmann A(3), Volksdorf T(2), Wladykowski E(2), Vidal-Y-Sy S(2), Peters EM(4), Danso M(5), Bouwstra JA(5), Hennies HC(6), Moll I(2), Schmuth M(7), Brandner JM(8).  Author information:  (1)Department of Dermatology, Venerology, and Allergology, Medical University of  Innsbruck, Innsbruck, Austria; Division of Human Genetics, Medical University of  Innsbruck, Innsbruck, Austria. Electronic address: r.gruber@i-med.ac.at. (2)Department of Dermatology and Venerology, University Hospital Hamburg-Eppendorf, Hamburg, Germany. (3)Department of Medical Biometry and Epidemiology, University Hospital Hamburg-Eppendorf, Hamburg, Germany. (4)Department of Psychosomatic Medicine, Psychoneuroimmunology Laboratory, Justus-Liebig University, Giessen, Germany; Center for Internal Medicine and Dermatology, Charité-University Medicine, Berlin, Germany. (5)Department of Drug  Delivery Technology, Leiden Academic Center for Drug Research, Leiden University, Leiden, the Netherlands. (6)Department of Dermatology, Venerology, and Allergology, Medical University of Innsbruck, Innsbruck, Austria; Division of Human Genetics, Medical University of Innsbruck, Innsbruck, Austria; Cologne Center for Genomics, University of Cologne, Cologne, Germany. (7)Department of Dermatology, Venerology, and Allergology, Medical University of Innsbruck, Innsbruck, Austria. (8)Department of Dermatology and Venerology, University Hospital Hamburg-Eppendorf, Hamburg, Germany. Electronic address: brandner@uke.de.  Tight junctions are important for skin barrier function. The tight junction protein claudin 1 (Cldn-1) has been reported to be down-regulated in nonlesional  skin of atopic dermatitis (AD) patients. In contrast, we did not observe a significant down-regulation of Cldn-1 in nonlesional skin of the AD cohort used in this study. However, for the first time, a significant down-regulation of Cldn-1 in the upper and lower epidermal layers of lesional skin was detected. In  addition, there was a significant up-regulation of Cldn-4 in nonlesional, but not lesional, AD skin. For occludin, no significant alterations were observed. In an  AD-like allergic dermatitis mouse model, Cldn-1 down-regulation in eczema was significantly influenced by dermal inflammation, and significantly correlated with hallmarks of eczema (ie, increased keratinocyte proliferation, altered keratinocyte differentiation, increased epidermal thickness, and impaired barrier function). In human epidermal equivalents, the addition of IL-4, IL-13, and IL-31 resulted in a down-regulation of Cldn-1, and Cldn1 knockdown in keratinocytes resulted in abnormal differentiation. In summary, we provide the first evidence that Cldn-1 and Cldn-4 are differentially involved in AD pathogenesis. Our data suggest a role of Cldn-1 in AD eczema formation triggered by inflammation.  Copyright © 2015 American Society for Investigative Pathology. Published by Elsevier Inc. All rights reserved.  DOI: 10.1016/j.ajpath.2015.06.021 	26319240
9. J Invest Dermatol. 2015 Nov;135(11):2887-90. doi: 10.1038/jid.2015.243. Epub 2015	Jun 29.  Cathelicidin LL-37 Induces Semaphorin 3A Expression in Human Epidermal Keratinocytes: Implications for Possible Application to Pruritus.  Umehara Y(1), Kamata Y(1), Tominaga M(1), Niyonsaba F(2,)(3), Ogawa H(1,)(2), Takamori K(1,)(4).  Author information:  (1)Institute for Environmental and Gender Specific Medicine, Juntendo University  Graduate School of Medicine, Chiba, Japan. (2)Atopy (Allergy) Research Center, Juntendo University Graduate School of Medicine, Tokyo, Japan. (3)Faculty of International Liberal Arts, Juntendo University, Tokyo, Japan. (4)Department of Dermatology, Juntendo University Urayasu Hospital, Urayasu, Chiba, Japan.  DOI: 10.1038/jid.2015.243 	26121211
10. Eur J Immunol. 2015 Sep;45(9):2517-28. doi: 10.1002/eji.201545675. Epub 2015 Jul 	6.  Accumulation and activation of epidermal γδ T cells in a mouse model of chronic dermatitis is not required for the inflammatory phenotype.  Sulcova J(1), Maddaluno L(1), Meyer M(1), Werner S(1).  Author information:  (1)Department of Biology, Institute of Molecular Health Sciences, ETH Zurich, Zurich, Switzerland.  Chronic skin inflammation resulting from a defective epidermal barrier is a hallmark of atopic dermatitis (AD). We previously demonstrated that mice lacking  FGF receptors 1 and 2 in keratinocytes (K5-R1/R2 mice) develop an AD-like chronic dermatitis as a result of an impaired epidermal barrier. Here, we show that γδ T  cells, which rapidly respond to various insults, accumulate in the epidermis of K5-R1/R2 mice before the development of histological abnormalities. Their number  and activation further increase as the phenotype progresses, most likely as a consequence of increased expression of Il-2 and Il-7 and the stress-induced proteins Rae-1, H60c, Mult1, PlexinB2, and Skint1. To determine the role of γδ T  cells in the skin phenotype, we generated quadruple mutant K5-R1/-R2 mice lacking γδ T cells. Surprisingly, loss of γδ T cells did not or only marginally affect keratinocyte proliferation, epidermal thickness, epidermal barrier function, and  accumulation and activation of different immune cells in the skin of K5-R1/R2 mice, possibly due to partial compensation by αβ T cells. These results demonstrate that γδ T cells do not contribute to the development or maintenance of chronic inflammation in response to a defect in the epidermal barrier.  © 2015 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.  DOI: 10.1002/eji.201545675 	26081170
